X81,X71,X51,X61,X82,X72,X52,X62,X83,X73,X53,X63,X84,X74,X54,X64,X1,X4,X2,Amount4,Amount3,Amount2,Amount1,Label
6,7,10200000,10000000,0,0,0,0,0,0,0,0,1,2,1000000,1000000,59,30,0,53207,53207,53207,53207,1
50,53,29152752,29200000,38,42,38079481,37864000,67,73,55366130,54976000,58,65,65798093,74820000,36,0,0,4418980,13440887,13050757,12835276,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,71248,71248,71248,71248,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,60,1,7831,7831,7831,7831,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,66,1,5409,5409,5409,5409,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,96195,96195,96195,96195,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,51,1,2104,2104,2104,2104,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,1,4823,4823,4823,4823,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,65,1,4136,4136,4136,4136,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,51,1,8517,8517,8517,8517,-1
